layer,label,index,theta,radius,x,y
φ₀,Hush / Cradle,89,213.59672744585012,9.433981132056603,9.429279370710882,-0.2978095852826337
φ₀,Hush / Cradle,90,215.99669067557878,9.486832980505138,-6.789514554197385,6.625895571041086
φ₀,Hush / Cradle,91,218.39665390530743,9.539392014169456,0.5335884843254842,-9.52445711468088
φ₀,Hush / Cradle,92,220.7966171350361,9.591663046625438,6.073324177924158,7.423929783466559
φ₀,Hush / Cradle,93,223.19658036476474,9.643650760992955,-9.544526094990951,-1.3791379996348347
φ₀,Hush / Cradle,94,225.5965435944934,9.695359714832659,8.012162670581947,-5.4594184067657965
φ₀,Hush / Cradle,95,227.99650682422205,9.746794344808963,-2.231913241807743,9.48781130087668
φ₀,Hush / Cradle,96,230.39647005395068,9.797958971132712,-4.788184831492389,-8.548291409367499
φ₀,Hush / Cradle,97,232.79643328367933,9.848857801796104,9.353284065715341,3.0848139629539255
φ₀,Hush / Cradle,98,235.196396513408,9.899494936611665,-9.026755434325706,4.064195655830475
φ₀,Hush / Cradle,99,237.59635974313665,9.9498743710662,3.9306258386646404,-9.140578784542141
φ₀,Hush / Cradle,100,239.9963229728653,10.0,3.2925552282507264,9.442408594681698
φ₀,Hush / Cradle,101,242.39628620259396,10.04987562112089,-8.850004001324624,-4.762082441174043
φ₀,Hush / Cradle,102,244.7962494323226,10.099504938362077,9.790569187186158,-2.4788616320644006
φ₀,Hush / Cradle,103,247.19621266205127,10.14889156509222,-5.571928210825296,8.482547731277979
φ₀,Hush / Cradle,104,249.59617589177992,10.198039027185569,-1.6291636463043353,-10.06706639560703
φ₀,Hush / Cradle,105,251.99613912150858,10.246950765959598,8.039876931987967,6.352981891874694
φ₀,Hush / Cradle,106,254.39610235123723,10.295630140987,-10.268282712850645,0.7499134143170146
φ₀,Hush / Cradle,107,256.7960655809659,10.344080432788601,7.098199891532851,-7.524331086538061
φ₀,Hush / Cradle,108,259.19602881069454,10.392304845413264,-0.1520848043872843,10.391191953393724
φ₀,Hush / Cradle,109,261.5959920404232,10.44030650891055,-6.9389099118080315,-7.800739018568193
φ₀,Hush / Cradle,110,263.99595527015185,10.488088481701515,10.433392498929653,1.0697293878726581
φ₀,Hush / Cradle,111,266.3959184998805,10.535653752852738,-8.454018059829597,6.287255255202785
φ₀,Hush / Cradle,112,268.79588172960916,10.583005244258363,1.9956791676637144,-10.393135458549219
φ₀,Hush / Cradle,113,271.1958449593378,10.63014581273465,5.573627292863798,9.05177765967789
φ₀,Hush / Cradle,114,273.5958081890665,10.677078252031311,-10.26934746607689,-2.922413834654528
φ₀,Hush / Cradle,115,275.99577141879513,10.723805294763608,9.588137978510089,-4.802875191492325
φ₀,Hush / Cradle,116,278.3957346485237,10.770329614269007,-3.842296438084863,10.061647881032231
φ₀,Hush / Cradle,117,280.7956978782524,10.816653826391969,-3.980402443860088,-10.057653622237776
φ₀,Hush / Cradle,118,283.19566110798104,10.862780491200215,9.770360205721731,4.747637459879303
φ₀,Hush / Cradle,119,285.5956243377097,10.908712114635714,-10.455365354629214,3.1121271344884276
φ₀,Hush / Cradle,120,287.99558756743835,10.954451150103322,5.630759930146173,-9.396517578819306
φ₀,Hush / Cradle,121,290.395550797167,11.0,2.2044374364663537,10.776848128683342
φ₀,Hush / Cradle,122,292.79551402689566,11.045361017187261,-8.941862255052826,-6.4840650375872695
φ₀,Hush / Cradle,123,295.1954772566243,11.090536506409418,11.018255001506356,-1.2641426825244662
φ₀,Hush / Cradle,124,297.59544048635297,11.135528725660043,-7.300097681021879,8.408839030897129
φ₀,Hush / Cradle,125,299.9954037160816,11.180339887498949,-0.29842039299380596,-11.176356529256099
